Date,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG,AMZN,CAT,DE,EXC,GOOGL,JNJ,JPM,META,PFE,PG
2018-01-02,58.599998474121094,158.3000030517578,156.6699981689453,28.20256805419922,52.6510009765625,139.66000366210938,107.62999725341797,177.67999267578125,34.51612854003906,91.91999816894531,59.5,159.38999938964844,158.05999755859375,28.309558868408203,53.79899978637695,139.9499969482422,108.0199966430664,181.5800018310547,34.648956298828125,91.93000030517578,58.5255012512207,156.02999877929688,156.5500030517578,28.002853393554688,52.6510009765625,138.72000122070312,106.80999755859375,177.5500030517578,34.38330078125,90.55000305175781,59.45050048828125,157.0399932861328,158.00999450683594,28.238231658935547,53.660499572753906,139.22999572753906,107.94999694824219,181.4199981689453,34.573055267333984,90.6500015258789,53890000,5108400,1897600,7224506,31766000,6842100,13578800,18151900,17059833,7558900,59.45050048828125,133.35385131835938,142.16531372070312,21.937349319458008,53.466678619384766,113.85027313232422,88.11128997802734,180.7296142578125,25.560184478759766,74.82350158691406
2018-01-03,59.415000915527344,157.0399932861328,157.88999938964844,28.08131217956543,53.69649887084961,139.36000061035156,107.86000061035156,181.8800048828125,34.582542419433594,90.7300033569336,60.27450180053711,157.49000549316406,159.10000610351562,28.445077896118164,54.80500030517578,140.67999267578125,108.48999786376953,184.77999877929688,34.886146545410156,91.08999633789062,59.415000915527344,155.39999389648438,157.63999938964844,27.653352737426758,53.67150115966797,138.89999389648438,107.4800033569336,181.3300018310547,34.37381362915039,90.5199966430664,60.209999084472656,157.27999877929688,158.72999572753906,27.860200881958008,54.57600021362305,140.55999755859375,108.05999755859375,184.6699981689453,34.8292236328125,90.54000091552734,62176000,4146100,1392300,6750350,31318000,5350500,11901000,16886600,14183151,5863600,60.209999084472656,133.55764770507812,142.8131103515625,21.643667221069336,54.378875732421875,114.93783569335938,88.20106506347656,183.96726989746094,25.74957275390625,74.73269653320312
2018-01-04,60.25,157.88999938964844,159.1999969482422,27.796005249023438,54.85449981689453,140.4499969482422,108.36000061035156,184.89999389648438,34.8292236328125,90.83000183105469,60.79349899291992,159.5800018310547,160.10000610351562,27.917261123657227,55.20399856567383,141.13999938964844,110.02999877929688,186.2100067138672,35.02846145629883,91.7699966430664,60.233001708984375,157.02000427246094,157.35000610351562,27.453638076782227,54.7130012512207,140.22000122070312,108.19999694824219,184.10000610351562,34.724857330322266,90.61000061035156,60.47949981689453,159.44000244140625,159.63999938964844,27.46790313720703,54.78799819946289,140.5500030517578,109.04000091552734,184.3300018310547,34.90512466430664,91.18000030517578,60442000,4865800,1747000,6630619,26052000,4837600,12953700,13880900,13046517,6322500,60.47949981689453,135.3918914794922,143.6318817138672,21.338905334472656,54.59010314941406,114.9296646118164,89.46461486816406,183.62857055664062,25.80569076538086,75.26097106933594
2018-01-05,60.8754997253418,160.25999450683594,159.8000030517578,27.61768913269043,55.17250061035156,140.69000244140625,109.26000213623047,185.58999633789062,34.93358612060547,91.2699966430664,61.457000732421875,162.0500030517578,160.47000122070312,27.696147918701172,55.67900085449219,141.82000732421875,109.55000305175781,186.89999389648438,34.99051284790039,91.30000305175781,60.5,159.63999938964844,156.58999633789062,27.15406608581543,55.09000015258789,140.27999877929688,107.77999877929688,184.92999267578125,34.734344482421875,90.56999969482422,61.457000732421875,161.9600067138672,160.32000732421875,27.23965835571289,55.51449966430664,141.7100067138672,108.33999633789062,186.85000610351562,34.97153854370117,91.23999786376953,70894000,3945400,1574400,10013224,30250000,6158800,14155000,13574500,13167517,5949700,61.457000732421875,137.53176879882812,144.2436981201172,21.161590576171875,55.31398391723633,115.87821960449219,88.8902816772461,186.13897705078125,25.85478973388672,75.31049346923828
2018-01-08,61.79999923706055,164.11000061035156,160.0500030517578,27.303852081298828,55.54999923706055,141.6999969482422,108.1500015258789,187.1999969482422,34.83871078491211,90.93000030517578,62.65399932861328,166.42999267578125,161.17999267578125,27.724679946899414,55.95800018310547,142.0,108.68000030517578,188.89999389648438,34.91461181640625,91.7699966430664,61.60150146484375,162.5500030517578,158.89999389648438,27.2681884765625,55.5,140.9199981689453,107.69999694824219,186.3300018310547,34.468692779541016,90.93000030517578,62.34349822998047,166.02999877929688,161.11000061035156,27.53209686279297,55.71049880981445,141.88999938964844,108.5,188.27999877929688,34.582542419433594,91.72000122070312,85590000,5929200,2711800,15116925,24644000,5129800,12466500,17994700,19964341,4860700,62.34349822998047,140.98788452148438,144.95448303222656,21.38876724243164,55.509273529052734,116.02540588378906,89.02153015136719,187.5635223388672,25.56720542907715,75.7066879272461
2018-01-09,62.845001220703125,166.3300018310547,162.00999450683594,27.49643325805664,55.922000885009766,142.3699951171875,108.72000122070312,188.6999969482422,34.573055267333984,91.47000122070312,62.96649932861328,167.41000366210938,165.97999572753906,27.5820255279541,55.922000885009766,145.67999267578125,109.62999725341797,188.8000030517578,34.76280975341797,91.6500015258789,62.0880012512207,165.08999633789062,161.52000427246094,26.91868782043457,55.40999984741211,142.25999450683594,108.48999786376953,187.10000610351562,34.497154235839844,91.01000213623047,62.6349983215332,166.42999267578125,165.60000610351562,27.218259811401367,55.63949966430664,144.13999938964844,109.05000305175781,187.8699951171875,34.544593811035156,91.05000305175781,73226000,4522900,4345200,10745349,26808000,8897000,13292300,12393100,16876226,6630100,62.6349983215332,141.32757568359375,148.9942626953125,21.144960403442383,55.43852996826172,117.86529541015625,89.47280883789062,187.1550750732422,25.539140701293945,75.1536636352539
2018-01-10,62.25749969482422,165.89999389648438,166.74000549316406,27.1184024810791,55.349998474121094,143.5500030517578,109.47000122070312,186.94000244140625,34.47817611694336,90.91000366210938,62.71649932861328,167.52999877929688,168.44000244140625,27.346647262573242,55.638999938964844,144.16000366210938,110.69999694824219,187.88999938964844,34.734344482421875,90.91000366210938,61.86149978637695,164.5,164.10000610351562,26.97574806213379,55.19900131225586,143.32000732421875,109.38999938964844,185.6300048828125,34.44971466064453,90.01000213623047,62.71649932861328,165.8699951171875,164.94000244140625,27.06847381591797,55.50699996948242,143.97000122070312,110.25,187.83999633789062,34.60151672363281,90.47000122070312,53720000,5478600,5473700,6890550,20734000,6558600,15834500,10529900,18755825,6564700,62.71649932861328,140.85205078125,148.40040588378906,21.028600692749023,55.3065071105957,117.72624206542969,90.4573745727539,187.12518310546875,25.581228256225586,74.6749267578125
2018-01-11,62.98699951171875,166.89999389648438,165.1300048828125,27.261056900024414,55.615501403808594,144.1300048828125,110.66999816894531,188.39999389648438,34.76280975341797,90.4000015258789,63.8385009765625,169.52999877929688,167.5500030517578,27.631954193115234,55.74250030517578,144.89999389648438,110.93000030517578,188.39999389648438,34.819732666015625,90.5199966430664,62.823001861572266,165.63999938964844,163.77000427246094,27.139799118041992,55.32400131225586,143.69000244140625,110.05000305175781,187.3800048828125,34.554080963134766,89.91999816894531,63.83399963378906,169.1999969482422,167.4600067138672,27.396575927734375,55.602500915527344,144.7899932861328,110.83999633789062,187.77000427246094,34.68690872192383,90.1500015258789,62500000,4199000,1958200,10419524,22424000,4962200,13676800,9588600,15102555,5469700,63.83399963378906,143.67979431152344,150.6676788330078,21.283489227294922,55.40166473388672,118.39674377441406,90.94145202636719,187.05548095703125,25.644363403320312,74.41079711914062
2018-01-12,63.669498443603516,169.99000549316406,168.4499969482422,27.339515686035156,55.505001068115234,144.99000549316406,111.6500015258789,178.05999755859375,34.75332260131836,90.05000305175781,65.28800201416016,170.6699981689453,170.72999572753906,27.52496337890625,56.564998626708984,146.4199981689453,112.8499984741211,181.47999572753906,34.91461181640625,90.33999633789062,63.669498443603516,169.22999572753906,167.9600067138672,27.111270904541016,55.4005012512207,144.89999389648438,110.83999633789062,177.39999389648438,34.5920295715332,89.3499984741211,65.26000213623047,170.3000030517578,169.3000030517578,27.38231086730957,56.532501220703125,145.75999450683594,112.66999816894531,179.3699951171875,34.667930603027344,89.61000061035156,108874000,4127900,2316500,7143470,38586000,5450600,18884200,77551300,20240700,8111000,65.26000213623047,144.61383056640625,152.32321166992188,21.27240753173828,56.32830810546875,119.18995666503906,92.44291687011719,178.6874237060547,25.630332946777344,73.96508026123047
